candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Devron Andersen,County Council,2024,2024-07-02,Pre-Primary,c_and_e_report,10132.30,10132.30,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_Devron_Andersen.pdf,cache_county|c6fe0dac2aea|raw/2024/2024_cc_2024_Devron_Andersen.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Fully typed (word-processed) filing, 6 pages, self-numbered '1 of 6' ... '6 of 6'; the Summary Page IS the last page (page 6). Layout: cover(1), Schedule A(2), Schedule B(3,4,5), Summary(6). Schedule A prints its 'Total Contributions Received $ 10,132.30' on page 2 (its only Schedule A page); Schedule B prints 'Total Expenditures Made $ 10,132.30' on page 5 (the last Schedule B page); the intermediate Schedule B pages 3 and 4 print only per-page subtotals (6,417.93 and 1,524.24) and no grand total. Values recorded verbatim: the schedule TOTAL lines omit the leading '$' glyph after the printed dollar sign, the Summary boxes include it. Schedule A carries the printed statutory/code line 'Aggregate for all single donations of $50 or less. Cache County Code 2.21.050.C.1.' with $82.30 as the aggregate row -- recorded in statutory_citation_printed as the only code citation the instrument prints. The Schedule B page-4 row '5/13/2024 IFA T-Posts 114.92' is printed WITHOUT a dollar sign (all other amounts carry one) -- noted only as an observation; no itemization is transcribed in this tranche. Nothing unreadable. Candidate name matches the ledger ('Devron Andersen'); note the surname is spelled 'Andersen' (with an e) on the page, consistent with this filing's ledger row -- a companion 2024 filing in the same tranche (cache_key 7cbce92c) is ledgered as 'Devron Anderson' (with an o). The received stamp is a faint vertical office stamp along the right edge of the 'Office Use Only' box; read as 'CLERK/AUDITOR RC'VD 2024 JUN 18 PM 4:41' at medium confidence -- the minute digits are the least certain characters. Neither 'Logged' nor 'Transmitted' is marked. Amendment question marked 'No'."
Devron Anderson,County Council,2024,2024-08-07,Final / Year-End Summary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_Devron_Anderson_Final_Disclosure.pdf,cache_county|840dd6966375|raw/2024/2024_cc_2024_Devron_Anderson_Final_Disclosure.pdf,high,"only the This-Period column is filled in — cannot tell from the filing whether earlier activity exists; Handwritten entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2 (blank), Schedule B p3 (blank), Summary p4.

COVER (p1): Name of Candidate 'Devron Andersen' - NOTE THE SPELLING: the filer writes 'Andersen' with an E, on the header line, on the Affirmation line, and in every page footer (four independent instances, all legible and all -SEN). Address '6635 W. 1000 S.', City 'Mendon', State 'UT', Zip '84375'. Office 'county Council South' (lowercase c on 'county'; 'South' on a second line). Phone '435-760-7642'. Email 'devron.andersen@gmail.com' (the final characters run into the box edge; read as '.com'). Type of Report: an X mark over the bullet for '30 Days after elimination'; the other two options unmarked. Is this report an amendment? NEITHER 'No' nor 'Yes' is marked. A handwritten line sits inside the Type of Report box below the options: 'No change since last report.' Affirmation printed name 'Devron Andersen'. Signature present. Date '8/6/2024'. Date of Report '8/6/2024'. Page '1 of 4'. Office Use Only: neither 'Logged' nor 'Transmitted' filled; NO received stamp.

SCHEDULE A (p2): COMPLETELY EMPTY - no itemized rows, and BOTH the 'Subtotal for this page $' and 'Total Contributions Received $' lines are BLANK (nothing written after the preprinted '$', not even a zero). Recorded as empty strings, not as zero. Footer 'Devron Andersen', '8/6/2024', Page '2 of 4'.

SCHEDULE B (p3): COMPLETELY EMPTY - no itemized rows; 'Subtotal for this page $' and 'Total Expenditures Made $' both BLANK. Recorded as empty strings, not as zero. Footer 'Devron Andersen', '8/6/2024', Page '3 of 4'.

SUMMARY (p4): Box A '$0.00'. Box B '$0.00'. Box C is BLANK (nothing written). Box D '$0.00'. Box E is BLANK (nothing written). Box F '$0.00'. Balance at Close of Reporting Period '$0.00'. All the written zeros here are ordinary digit zeros with decimals ('0.00'), not the ambiguous open-O glyph, so they are recorded at high confidence. Footer 'Devron Andersen', '8/6/2024', Page '4 of 4'.

The two year-to-date boxes (C and E) being left blank while the this-period boxes read $0.00 is an honest gap in the filing: this is a 'no change since last report' final disclosure and the filer did not carry the cycle totals forward. Nothing was inferred or filled in for them.

LEDGER CHECK - NAME DISCREPANCY TO FLAG: the ledger's candidate value is 'Devron Anderson' (-SON) and the canonical filename is '2024_cc_2024_Devron_Anderson_Final_Disclosure.pdf' (-SON), but the FILING ITSELF spells the surname 'Andersen' (-SEN) in all four hand-written instances. The document is the primary source; recorded as 'Devron Andersen'. The ledger/filename spelling appears to be the error. Also, the ledger's scope_status='undetermined' is CONTRADICTED by the page evidence: the Office box reads 'county Council South', so scope is county, office_std 'County Council', seat 'South'."
Jon David Jorgensen,County Council,2024,2024-07-02,Pre-Primary,c_and_e_report,10161.53,8830.17,0,,,,,,,,,0,0,raw/2024/2024_cc_2024_Jon_David_Jorgensen.pdf,cache_county|fc3fedb0c9ac|raw/2024/2024_cc_2024_Jon_David_Jorgensen.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; HYBRID INSTRUMENT: the cover (page 1) and the Summary Page (page 4) are the Cache County Clerk/Auditor 'Candidate Financial Disclosure' form (form_read=cache_cfd), but the two schedule pages are a DIFFERENT, older instrument -- page 2 is headed 'ITEMIZED CONTRIBUTION REPORT (Form ""A"")' and page 3 'ITEMIZED EXPENDITURE REPORT (Form ""B"")', each footed '(If additional space is needed, use blank paper and list information like the above format and file with this report)' and machine-paginated 'Page 2' / 'Page 3'. Those pages print NO 'Total Contributions Received' / 'Total Expenditures Made' line; what they carry is a HANDWRITTEN foot line labelled 'Subtotal:' -- '$10,161.53' on Form A and '$8,830.17' on Form B. Those handwritten subtotals are what is recorded in schedule_totals, with their 'Subtotal' label preserved verbatim so the distinction from a true schedule TOTAL is not lost; nothing was summed or reconciled here. LEDGER RESOLUTION: the ledger records scope_status=undetermined; the page evidence resolves it -- the Office box is filled in and reads 'County Council - North', so scope=county, office_std='County Council', seat='North'. NAME SPELLING vs LEDGER: the page spells the candidate 'Jon-David Jorgensen' (hyphenated given name; surname ends -sen), in both the Name of Candidate box and the Affirmation line; the ledger records 'Jon David Jorgensen' (no hyphen) and the filename uses 'Jon_David_Jorgensen'. Same person, spelling differs only in the hyphen. Box D reads '$8,830.17' with the '3' retraced over what may have been another digit; the same figure is written cleanly in Box E and on the Form B subtotal, so confidence stays high. The 'Balance at Close' box carries the filer's own qualifier '(minus in-kind)' written after the figure -- retained verbatim, not stripped. The amendment question is UNMARKED (neither 'No' nor 'Yes' circled). Neither 'Logged' nor 'Transmitted' is marked. Two Form A rows ('Round Rock Properties', 1/26/2024 and 5/1/2024) are written in blue ink over an otherwise typed sheet; several Form A amounts print without cents ('$5', '$300', '$1,000') -- observations only, no itemization is transcribed in this tranche. Form prints no statutory citation line."
Jon-David Jorgensen,County Council,2024,2024-08-06,Final / Year-End Summary,c_and_e_report,50,0,,,,,,,,,,0,0,raw/2024/2024_cc_2024_Jon_David_Jorgensen_Final_Disclosure.pdf,cache_county|a187205d4d8d|raw/2024/2024_cc_2024_Jon_David_Jorgensen_Final_Disclosure.pdf,high,"Typed/word-processed entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2, Schedule B p3, Summary p4. All four pages carry a vertical scanner artifact (a dark streak down the left-of-centre of the page); it does not obscure any field.

COVER (p1): Name of Candidate 'Jon-David Jorgensen'. Address '274 West 200 North', City 'Smithfield', State 'UT', Zip '84335'. Office 'County Council - North District'. Phone '425-535-1776'. Email 'votejondavid@gmail.com'. Type of Report: an X-in-circle mark on '30 Days after elimination'; the other two options unmarked. IS THIS REPORT AN AMENDMENT: 'Yes' is marked with an X-in-circle and 'Date of Original Report' reads '6/18/2024' - so THIS FILING IS AN AMENDMENT to a 6/18/2024 report; 'No' is unmarked. Affirmation printed name 'Jon-David Jorgensen'. Handwritten signature present. Date '8/5/2024'. Date of Report '8/5/2024'. Page '1'. Office Use Only: neither 'Logged' nor 'Transmitted' is filled; NO received stamp appears on the page. Note the Where-to-File email on this 2024-vintage form is 'elections@cachecounty.gov' (.gov), whereas the 2022-vintage forms print 'elections@cachecounty.org' (.org).

SCHEDULE A (p2): 1 itemized row: '7/14/2024 | Gary Winger | 50 E. South Temple, Ste. 400, SLC, UT | $50'. Subtotal for this page '50'. Total Contributions Received '50' (both printed after the form's preprinted '$', without a repeated dollar sign). Footer 'Jon-David Jorgensen', '8/5/2024', Page '2'.

SCHEDULE B (p3): no itemized rows. Subtotal for this page '0'. Total Expenditures Made '0'. Footer 'Jon-David Jorgensen', '8/5/2024', Page '3'.

SUMMARY (p4): the filer annotated several boxes with in-kind qualifiers; these are recorded verbatim as part of the value rather than stripped. Box A '$2,087.20 (minus in-kind)'. Box B '$50'. Box C '$10,211.53'. Box D '$0'. Box E '$8,830.17'. Box F '$2,137.20 (minus in-kind)'. Balance at Close of Reporting Period '$2,137.20 (minus $2,137.20 of in-kind on prior report)'. Footer 'Jon-David Jorgensen', '8/5/2024', Page '4'.

OBSERVATION (recorded, not corrected): the closing-balance box states $2,137.20 and then, parenthetically, that $2,137.20 of in-kind was reported on a prior report - a wording that on its face could mean the true cash balance is zero, but the page does not state a second figure, so only the printed text is recorded. No arithmetic was performed. Boxes C and E are cycle-to-date figures that cannot be derived from this document's own schedules (which show only $50 in and $0 out) - expected for an amended final report, not a contradiction.

LEDGER CHECK: the ledger's candidate value 'Jon-David Jorgensen' MATCHES the page evidence exactly (including the hyphenation). The ledger's scope_status='undetermined' is CONTRADICTED by the page evidence: the Office box plainly reads 'County Council - North District', so scope is county, office_std 'County Council', seat 'North District'."
Nolan P Gunnell,County Council,2024,2024-11-01,Pre-General,c_and_e_report,0,0,0,,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Nolan_P_Gunnell.pdf,cache_county|f79a4cefba66|raw/2024/2024_cc_2024_General_Nolan_P_Gunnell.pdf,high,"Four pages: 1 cover, 2 Schedule A (empty), 3 Schedule B (empty), 4 Summary Page. Born-digital county 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' instrument, filled in by hand; scan quality good. No statutory citation is printed anywhere on the form. AMENDMENT: the 'Is this report an amendment?' block is marked YES with 'Date of Original Report 6-11-2024', and the filer wrote across the Type of Report box, in hand, 'No change since previous report'. ZERO GLYPHS: Schedule A's 'Subtotal for this page' and 'Total Contributions Received', and Schedule B's 'Subtotal for this page' and 'Total Expenditures Made', are each a hand-drawn slashed/crossed O used as a zero - transcribed '0' at confidence medium per protocol rule 3; the single mark in the middle of each schedule's first row is the same slashed-O, i.e. the filer's way of saying the schedule is empty, not an itemized line. DECIMAL POINT: box E is written '4,896 63' with a clear gap and NO printed decimal point (verified on a 2.2x crop of the box); it is recorded verbatim as written and is evidently four thousand eight hundred ninety-six dollars and sixty-three cents, but the punctuation was not added by me. Boxes A-D are written '$ 0.00' in longhand digits (not zero glyphs). BOXES F AND 'Balance at Close of Reporting Period' ARE COMPLETELY BLANK on the page - left empty as '' per protocol; I did not compute A+B or F-D for the filer. INTERNAL DISAGREEMENT recorded, not reconciled: Schedule B carries a zero total while box E (Expenditures Made Year-to-Date) states 4,896 63 - consistent with a no-activity amendment period on top of prior-period spending, but the form itself does not say so. Received stamp runs diagonally down the lower-right corner of page 1 and is heavily degraded; 'CLERK/AUDITOR RCVD', '2024 OCT 2' and 'PM 2:35' are legible on a rotated 3x crop, but the second digit of the day of month is lost in the noise, so it is marked '[?]' rather than guessed (confidence low). Ledger agreement: ledger candidate 'Nolan P Gunnell' matches the typed/handwritten name exactly, and scope_status=county_confirmed is upheld by the page."
