ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
40 of 2024,2024-06-04,2024-06-04,Close the public hearing and adopt Ordinance 40 of 2024 amending Title 21A regarding Planning and Historic Landmark Commission membership and Appeals Hearing Officer term limits.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-06-04,7,medium,Council,1,,minutes/2024/2024-06-03/2024-06-04_lba-rda-and-council-formal-meeting.md,
41 of 2024,2024-06-04,2024-06-04,"Adopt Ordinance 41 of 2024 amending the FY2024-25 final budget (Budget Amendment No. 5, Item A-5) for traffic control and safety improvements at 2200 West and 2100 North, and request Administration guidance on roundabout placement.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-04,9,within_source,Council,1,,minutes/2024/2024-06-03/2024-06-04_lba-rda-and-council-formal-meeting.md,
42 of 2024,2024-06-04,2024-06-04,"Adopt Ordinance 42 of 2024 approving a $350,000 loan for Shades of Pale, Inc. from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-04,10,within_source,Council,1,,minutes/2024/2024-06-03/2024-06-04_lba-rda-and-council-formal-meeting.md,
43 of 2024,2024-05-21,2024-05-21,"Adopt Ordinance 43 of 2024 (Rezone and Master Plan Amendment at approximately 1791 S and 1815 S State Street and 118 E and 120 E Coatsville Avenue) subject to additional development agreement requirements including 5% affordable units at 80% AMI for 15 years, minimum parking of ½ space per dwelling unit, and 1 space per 1,000 sq ft of commercial space",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-05-21,17,medium,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
45 of 2024,2024-06-11,2024-06-11,Adopt Ordinance 45 of 2024 approving the budget for the Library Fund of Salt Lake City for Fiscal Year 2024-25,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,13,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
46 of 2024,2024-06-11,2024-06-11,"Adopt the Legislative Intent Statements as outlined on the motion sheet (Motion 5, items 1-8), in conjunction with Ordinance 46 of 2024",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,12,within_source,Council,3,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
47 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 47 of 2024 setting the final rate of tax levy, including the final rate for the Library Fund, upon all real and personal property within Salt Lake City for Fiscal Year 2024-25, and authorize the Council Chair to sign documentation for the State Tax Commission",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,14,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
48 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_pmn_ord_48_of_2024_consolidated_fee.html,no,7-0 Pass,2024-06-11,15,high,Council,1,slc_pmn_ord_48_of_2024_consolidated_fee.html,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
49 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,15,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
50 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,15,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
51 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,15,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
52 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,15,within_source,Council,1,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
53 of 2024,2024-06-11,2024-06-11,"Adopt Ordinance 48 of 2024 (H4), Ordinance 49 of 2024 (H5), Ordinance 50 of 2024 (H6), Ordinance 51 of 2024 (H7), Ordinance 52 of 2024 (H8), and Ordinance 53 of 2024 (H9) relating to the Fiscal Year 2024-25 budget, with a noted procedural gap for executive municipal officers to be addressed at a follow-up public hearing on July 2",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-06-11,15,within_source,Council,2,,minutes/2024/2024-06-10/2024-06-11_lba-rda-and-council-formal-meeting.md,
54 of 2024,2024-05-21,2024-05-21,Adopt Ordinance 54 of 2024 (Ballpark Station Area Rezone and Text Amendments),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_pmn_ord_54_of_2024_zma.html,yes,7-0 Pass,2024-05-21,15,high,Council,1,slc_pmn_ord_54_of_2024_zma.html,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
55 of 2024,2024-05-21,2024-05-21,Adopt Ordinance 55 of 2024 (Ballpark Station Area Rezone at 1058 and 1064 South West Temple),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-05-21,16,medium,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
56 of 2024,2024-07-02,2024-07-02,Close the public hearing and adopt Ordinance 56 of 2024 (Zoning Incentives for Adaptive Reuse and Preservation of Buildings Text Amendment).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_pmn_ord_56_of_2024_adaptive_reuse.html,yes,6-0 Pass,2024-07-02,2,high,Council,1,slc_pmn_ord_56_of_2024_adaptive_reuse.html,minutes/2024/2024-07-01/2024-07-02_revised-council-formal-meeting.md,
57 of 2024,2024-07-02,2024-07-02,Close the public hearing and adopt Ordinance 57 of 2024 (Zoning Map Amendment at 1544 and 1550 South 900 West).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-07-02,3,medium,Council,1,,minutes/2024/2024-07-01/2024-07-02_revised-council-formal-meeting.md,
58 of 2024,2024-07-09,2024-07-09,"Adopt Ordinance 58 of 2024, approving a $100,000 loan for Goat Head, LLC, from the Economic Development Loan Fund",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-07-09,12,within_source,Council,1,,minutes/2024/2024-07-08/2024-07-09_rda-and-council-formal-meeting.md,
59 of 2024,2024-08-13,2024-08-13,Close the public hearing and adopt Ordinance 59 of 2024 (Form Based Zone Corrections Text Amendment).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-08-13,7,medium,Council,1,,minutes/2024/2024-08-12/2024-08-13_council-formal-meeting.md,
60 of 2024,2024-08-13,2024-08-13,Close the public hearing and adopt Ordinance 60 of 2024 (Prohibiting Distribution Centers on the Former North Temple Landfill Site).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-08-13,10,within_source,Council,1,,minutes/2024/2024-08-12/2024-08-13_council-formal-meeting.md,
61 of 2024,2024-08-13,2024-08-13,"Adopt Ordinance 61 of 2024, approving $75,000 loan for Policy Kings Brewery from the Economic Development Loan Fund, with the Council's intent to move the funds in the coming budget opening and request the Administration process the request expeditiously.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-08-13,13,within_source,Council,1,,minutes/2024/2024-08-12/2024-08-13_council-formal-meeting.md,
63 of 2024,2024-08-27,2024-08-27,"Adopt Ordinance 63 of 2024 (Sports, Entertainment, Culture, and Convention District Text Amendment).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-08-27,10,within_source,Council,1,,minutes/2024/2024-08-26/2024-08-27_council-formal-meeting.md,
64 of 2024,2024-08-27,2024-08-27,Adopt Ordinance 64 of 2024 (Projecting Business Signs Zoning Text Amendment).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-08-27,8,medium,Council,1,,minutes/2024/2024-08-26/2024-08-27_council-formal-meeting.md,
65 of 2024,2024-08-27,2024-08-27,Adopt Ordinance 65 of 2024 (Zoning Text Amendment to Allow Single-Family Attached Dwellings in Select Commercial Zones).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-08-27,9,medium,Council,1,,minutes/2024/2024-08-26/2024-08-27_council-formal-meeting.md,
66 of 2024,2024-09-03,2024-09-03,"Close the public hearing and adopt Ordinance 66 of 2024, Part 1, amending the Fiscal Year 2025 final budget of Salt Lake City including the employment staffing document for specified items (A-1, D-4, D-8, D-14, D-15).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-09-03,4,within_source,Council,1,,minutes/2024/2024-09-02/2024-09-03_council-formal-meeting.md,
67 of 2024,2024-09-17,2024-09-17,"Adopt Ordinance 67 of 2024 amending the Fiscal Year 2025 final budget of Salt Lake City including the employment staffing document for specified items, and request the Administration develop proposed language addressing allocation of costs for administering future elections conducted in accordance with Article VII.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-09-17,4,within_source,Council,1,,minutes/2024/2024-09-16/2024-09-17_revised-council-formal-meeting.md,
68 of 2024,2024-10-01,2024-10-01,"Adopt Ordinance 68 of 2024, establishing, approving, and levying a 0.5% citywide sales and use tax on eligible transactions identified in Utah Code 59-12-402.5",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-10-01,16,within_source,Council,1,,minutes/2024/2024-09-30/2024-10-01_council-formal-meeting.md,
69 of 2024,2024-10-01,2024-10-01,Close the public hearing and adopt Ordinance 69 of 2024 (Zoning Map Amendment at approximately 450 East 700 South),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-10-01,6,medium,Council,1,,minutes/2024/2024-09-30/2024-10-01_council-formal-meeting.md,
70 of 2024,2024-10-01,2024-10-01,Close the public hearing and adopt Ordinance 70 of 2024 (Driveway and Loading Area Standards Text Amendment),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-10-01,7,within_source,Council,1,,minutes/2024/2024-09-30/2024-10-01_council-formal-meeting.md,
71 of 2024,2024-10-01,2024-10-01,Close the public hearing and adopt Ordinance 71 of 2024 (Monument Signs in Manufacturing Districts Text Amendment),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-10-01,8,within_source,Council,1,,minutes/2024/2024-09-30/2024-10-01_council-formal-meeting.md,
